Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Total embarked,Total disembarked,Captive deaths during crossing,Duration of captives' crossing (in days),Crew at voyage outset
1835,46278,Aventureiro,"West Central Africa and St. Helena, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",490,444,,74,14
1835,46279,Caridade,"West Central Africa and St. Helena, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina",490,444,,48,12
1839,46449,Dois Amigos,Mozambique,Rio de Janeiro,514,421,,,
1839,46534,Veloz,"Africa, port unspecified",Havana,284,270,,,
1838,46535,Comus,"Africa, port unspecified",Havana,475,436,,,
1838,46536,Anteus,"Africa, port unspecified",Havana,129,114,,,
1836,46537,Ricomar,"Africa, port unspecified",Havana,282,250,32,,
1836,46538,Aguila Vengadora,"Africa, port unspecified",Havana,411,369,,,
1835,46539,NS del Coro,"Africa, port unspecified",Havana,690,563,,,
1835,46540,Juan de Dios (a) Vascongada,"Africa, port unspecified",Havana,690,563,,,
1836,46676,Principeño,"Africa, port unspecified",Havana,1265,1004,,,
1839,46677,Diana,"Africa, port unspecified",Havana,284,270,,,
1839,46678,Constancia,"Africa, port unspecified",Havana,411,369,,,
1838,46679,Principeño,"Africa, port unspecified",Havana,1265,1004,,,
1839,46763,Árabe,Quilimane,,490,444,,,
1836,47276,Experiência,Benguela,Rio de Janeiro province,490,444,,,
1836,47277,Nova Sorte,Benguela,Rio de Janeiro,490,444,,,
1837,47278,Experiência,Benguela,Rio de Janeiro province,490,444,,,
1837,47280,Pensamento Feliz,Benguela,Rio de Janeiro province,118,105,,,
1836,47284,Triunfo da Inveja,Benguela,Rio de Janeiro province,257,242,,,
1839,47345,Pernambuco,Luanda,"Pernambuco, place unspecified",490,444,,,
1838,47346,Nereida,Luanda,"Pernambuco, place unspecified",490,444,,,
1839,48625,Experiência,Benguela,Rio de Janeiro,490,444,,,
1839,48631,Felícia,Luanda,,572,517,,,
1839,48634,Maria Rita,Ambriz,,490,444,,,
1835,51857,Tibério,"Lagos, Onim","Bahia, place unspecified",490,444,,40,19
