Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Total embarked,Total disembarked,Duration of captives' crossing (in days),Captain's name
1830,34655,Pauline,Princes Island,Basse-Terre,168,151,,"Martin, Jean"
1830,34659,Vigilante,Cape Verde Islands,French Africa (Goree or Senegal),307,277,,
1830,34660,Virginie,Gabon,,490,444,,Aubin
1830,34665,Caroline,Rio Pongo,French Africa (Goree or Senegal),51,51,,"Daniel, Jean Antoine"
1830,34669,Eliza,"Africa, port unspecified","Americas, port unspecified",490,444,,"Sayvrezis, Antoine"
1830,34671,Furet,"Southeast Africa and Indian Ocean islands, port unspecified","Americas, port unspecified",490,444,,"Bertrand, Pierre"
1830,34672,Hirondelle,,,,,,Le Guen
1830,34673,Industrie,"Africa, port unspecified","Americas, port unspecified",535,440,,"Martin, Pierre"
1830,34674,Jeune Céline,"Africa, port unspecified","Americas, port unspecified",490,444,,"Chevalier, Jean-Baptiste"
1830,34678,Louise,"Africa, port unspecified","Americas, port unspecified",490,444,,"Harouard, Eugène"
1830,34682,Romano,"Africa, port unspecified",French Africa (Goree or Senegal),535,440,,
1830,34684,Rubis,Bonny,St. Thomas,490,444,63,"Hignard, Joseph<br/> Grellier, Pierre"
1830,34685,Vagabond,"Africa, port unspecified","Americas, region unspecified",535,440,,Damoiselle
1830,34686,Valentins,,,,,,"N'Diaye, Jacques"
1830,39047,Servando,"Africa, port unspecified",Havana,411,369,,"Saens, Francisco"
1830,39052,Pantica,"Africa, port unspecified",Havana,284,270,,"Pulles, Antonio"
1830,41561,Coruñez,"Africa, port unspecified",Havana,411,369,,"Pequeño, Jose Maria"
1830,41565,Bella Juliana,"Africa, port unspecified",Havana,284,270,,"Escardo, Jose"
1830,41566,Manuelita,"Africa, port unspecified",Havana,284,270,,"Rodriguez, Marcelino"
1830,41567,Primera Gallega,"Africa, port unspecified",Havana,284,270,,"Musar, Antonio"
1830,41861,Preferida,"Africa, port unspecified",Havana,284,270,,"Martinez, Juan"
1830,46293,Vera Cruz,Luanda,"Pernambuco, place unspecified",449,421,,"Gama, Jacinto Rodrigues Monteiro de"
1830,46451,Afonso de Albuquerque,Mozambique,Rio de Janeiro,514,421,,
1830,46457,Sete de Fevereiro,Mozambique,Rio de Janeiro,514,421,,"Rodrigues, Francisco de Paula"
1830,46463,Flor de Moçambique,Lourenço Marques,Rio de Janeiro,514,421,,
1830,46464,Brilhante,Mozambique,Rio de Janeiro,514,421,,
1830,46544,Atrevido,"Africa, port unspecified",Havana,411,369,,
1830,48685,D Ana,Luanda,"Pernambuco, place unspecified",118,105,,"Garcia, Antônio Joaquim"
1830,48686,Imperador do Brasil,Luanda,"Pernambuco, place unspecified",430,415,21,"Correa, João Antônio<br/> Moura, Félix José de"
1830,48687,Paquete de Pernambuco,Luanda,"Pernambuco, place unspecified",283,257,26,"Lima, Inácio Gonçalves de<br/> Souza, José Libório de"
1830,48688,NS da Boa Viagem Abismo,Luanda,"Pernambuco, place unspecified",490,444,27,"Correa, Francisco José"
1830,48689,Feiticeira da África,Luanda,"Pernambuco, place unspecified",307,277,24,"Ressurreição, José Rodrigues da"
1830,48705,Aldina,Cabinda,"Pernambuco, place unspecified",26,24,25,"Santos, Manoel da Silva"
1830,48796,Pombinha,Luanda,"Bahia, place unspecified",118,105,,
1830,48945,Maria Teresa,"Asia e Africa, port unspecified","Pernambuco, place unspecified",490,444,,"Portugal, Manoel Antônio Correa"
1830,48946,Triunfo do Brasil,Luanda,"Pernambuco, place unspecified",490,444,,"Vidal, Pedro Jorge"
1830,49734,Elisa,Quilimane,"Southeast Brazil, port unspecified",372,331,,
1830,900134,Ânimo Grande,Sofala,,308,,,"Carvalho, Antônio de Vasconcelos"
1830,900136,Lourenço Marques,Lourenço Marques,Rio de Janeiro,514,421,,"Sales, Carlos Adriano de"
1830,900137,Lucônia,"Africa, port unspecified",Rio de Janeiro,372,233,,
1830,900138,Sete de Março,"Africa, port unspecified",Rio de Janeiro,578,533,,
